recordedBy_id,recordedByPerson
1,"Brogim, Rosemary"
2,Cunha
3,"Silva, Roseanne"
4,"Sanjuan, P."
5,"Morais, G."
6,"Lavelle, P."
7,"Teixeira, R. P."
8,"Cabezas, R."
9,",  Equipe"
10,"Hernández, Luis"
11,"Santos, C."
12,"Rosa Filho, José"
13,"Bittencourt, N."
14,"dos Santos, R."
15,"Cherniski, D."
16,"Muñoz, J."
17,"Sousa, Anny"
18,"Rousseau, Guillaume"
19,"Souza, Raíssa"
20,"Santos, B."
21,"Amado, L.L."
22,"Cardoso, E."
23,"Sousa, Sandriel"
24,"Froehlich, E.M."
25,"Burgos, J."
26,"Ditadi, A.S.F."
27,"Cayres, S."
28,"Nunes, A.L."
29,"Bastos, R."
30,"Almeida, Mayk"
31,"Pena, José"
32,"Hernández, L."
33,"Amado, L. L."
34,"Borges, A."
35,"Galvão, J."
36,"Lobato, C."
37,"Dias, J."
38,"Ferreira, Viviane"
39,"Overal, W.L."
40,"Decaëns,  T."
41,"Muniz, Mairink"
42,"Braga, Cesar"
43,"Santos, C.R.M"
44,", Equipe"
45,"Lobato, Cléo"
46,"Romão, João"
47,"Torres, M.F."
48,"Kinispel, S."
49,"Monteiro, E."
50,"Magalhães, A.M."
51,"Neto, R.B."
52,"Beckman, Ruana"
53,"Vilela, P."
54,"Mascarenhas, B."
55,"Bueno, Paulo"
56,"Lopes, A. M."
